,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
10,11655,Ryan Kelly,Duke,ACC,37,50.2,120.1,14.9,57.6,60.2,6.6,13.4,7.3,15.3,33,41,0.805,73,115,0.635,22,69,0.319,6.1,1.9,22.3,So,11-Jun,34.0,2.26727,117.465,4.1,2011,14133,all,97.0,1.03330046,47.0,57.0,26.0,58.0,0.8246,0.4483,16.0,16.0,1.0,48.0,90.2769,85.8437,2.86274,159.306,9.51621,3.84658,5.66962,8.33662,20.0811,3.72964,4.60698,1.1351,2.5946,3.7297,0.8378,0.6757,1.3784,6.6216,Stretch 4,5.27053
11,11895,Doug McDermott,Creighton,MVC,39,72.4,110.1,26.2,58.1,60.67,9.6,20.5,9.8,18.5,94,126,0.746,173,303,0.571,47,116,0.405,0.4,0.6,30.1,Fr,7-Jun,3.0,3.52158,119.973,2.9,2011,14955,all,69.2,0.51721358,109.0,151.0,64.0,151.0,0.7219,0.4238,5.0,6.0,0.8333,11.0,102.733,101.427,2.56243,188.789,1.91937,3.00352,-1.08415,2.96311,29.0513,4.33506,-1.37196,2.1026,5.0769,7.1795,1.1538,0.2821,0.1026,14.8974,Stretch 4,6.43906
12,12551,Jamaal Franklin,San Diego St.,MWC,20,10.9,101.0,22.4,53.6,54.96,10.1,17.8,12.4,25.6,9,15,0.6,12,21,0.571,7,21,0.333,2.7,1.6,35.7,Fr,5-Jun,21.0,0.584056,106.929,4.4,2011,16788,all,,0.71428573,10.0,14.0,2.0,7.0,0.7143,0.2857,3.0,4.0,0.75,41.0,91.1336,88.9713,1.00755,29.4481,3.46177,1.0986,2.36317,3.47595,7.65,1.44882,2.02713,0.65,1.2,1.85,0.5,0.2,0.2,2.7,Stretch 4,8.55072
13,12991,Deshaun Thomas,Ohio St.,B10,37,34.9,115.9,27.1,52.7,56.27,15.1,16.5,6.8,13.3,47,59,0.797,84,155,0.542,21,64,0.328,1.3,1.7,26.9,Fr,6-Jun,1.0,2.27723,131.961,3.2,2011,18055,all,96.4,0.56672423,65.0,99.0,19.0,56.0,0.6566,0.3393,4.0,4.0,1.0,58.0,93.5767,87.6534,1.90149,94.1003,5.24605,5.38829,-0.142236,5.24695,14.0,5.0405,0.206451,1.6757,1.8649,3.5405,0.4595,0.3784,0.1622,7.5135,Stretch 4,7.64565
14,14326,Draymond Green,Michigan St.,B10,37,82.8,107.3,28.2,50.4,54.22,8.2,28.5,24.2,19.7,125,173,0.723,160,338,0.473,52,134,0.388,3.4,2.7,36.7,Sr,7-Jun,23.0,4.64124,124.752,3.4,2012,8827,all,86.4,1.25893629,101.0,165.0,59.0,173.0,0.6121,0.341,13.0,14.0,0.9286,35.0,83.1827,77.9306,5.56188,304.211,11.3117,4.6544,6.65732,11.033,33.2162,5.98404,5.04892,2.1351,8.4865,10.6216,3.8108,1.4595,0.973,16.2432,Stretch 4,6.63109
15,15073,Ryan Kelly,Duke,ACC,31,58.6,119.8,21.5,52.7,59.67,8.2,15.3,8.6,14.5,113,140,0.807,67,143,0.469,40,98,0.408,3.5,1.7,58.1,Jr,11-Jun,34.0,3.91873,128.298,3.5,2012,14133,all,97.0,0.81392831,42.0,66.0,25.0,77.0,0.6364,0.3247,12.0,12.0,1.0,48.0,98.1095,92.7318,2.99745,155.652,7.59892,5.2399,2.35901,7.74703,25.9032,5.76087,1.98616,1.8065,3.5806,5.3871,1.129,0.7742,1.0,11.8387,Stretch 4,7.10468
16,15671,Jamaal Franklin,San Diego St.,MWC,30,70.0,103.2,30.9,49.2,56.19,7.0,23.1,10.2,19.6,155,193,0.803,115,228,0.504,45,143,0.315,2.1,1.5,52.0,So,5-Jun,21.0,3.75056,120.575,3.4,2012,16788,all,,0.44565822,65.0,91.0,50.0,137.0,0.7143,0.365,16.0,17.0,0.9412,41.0,92.5874,90.0474,3.75831,194.434,3.01224,1.69399,1.31825,4.99759,30.3333,3.83791,1.15968,1.7667,6.1333,7.9,1.3667,0.7667,0.5667,17.3333,Stretch 4,9.42301
17,16910,Robbie Hummel,Purdue,B10,35,80.6,117.5,24.8,49.5,54.05,5.5,21.7,12.6,7.1,113,137,0.825,122,277,0.44,72,188,0.383,4.2,1.3,29.5,Sr,8-Jun,4.0,5.09215,129.882,2.6,2012,21042,all,88.4,2.06245208,17.0,27.0,105.0,250.0,0.6296,0.42,0.0,0.0,,58.0,99.9434,94.0057,3.61701,212.965,7.60093,5.92469,1.67624,8.82257,32.2286,7.74869,1.07387,1.5714,5.6,7.1714,1.8857,0.6571,1.2,16.3714,Stretch 4,10.2834
18,17557,P.J. Hairston,North Carolina,ACC,37,31.5,103.9,22.0,40.4,46.6,6.0,10.9,9.4,13.9,52,62,0.839,23,59,0.39,38,139,0.273,1.2,1.6,31.3,Fr,6-Jun,15.0,1.18544,110.716,4.5,2012,22782,all,97.6,1.0371385,12.0,17.0,11.0,42.0,0.7059,0.2619,4.0,5.0,0.8,26.0,95.375,90.7006,1.60267,89.2128,4.56818,3.68873,0.879445,2.24371,13.0,1.01972,1.224,0.7568,1.4324,2.1892,0.7568,0.3784,0.1622,5.7297,Stretch 4,15.7979
19,18033,DeAndre Daniels,Connecticut,BE,31,27.3,93.0,16.9,40.7,45.69,6.4,12.5,7.4,21.4,20,25,0.8,19,41,0.463,12,50,0.24,5.0,1.8,27.5,Fr,8-Jun,2.0,0.35506,92.8529,3.3,2012,25301,all,96.6,0.68183742,16.0,28.0,3.0,13.0,0.5714,0.2308,3.0,3.0,1.0,37.0,99.5429,94.8852,1.31363,67.029,2.20738,-0.284526,2.4919,1.23401,12.129,-0.650927,1.88494,0.6452,1.4516,2.0968,0.4839,0.3548,0.5806,3.0323,Stretch 4,8.2305
