,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
10,15880,Lorenzo Brown,North Carolina St.,ACC,37,85.4,104.7,23.5,48.6,53.33,2.6,12.2,35.0,23.3,113,155,0.729,138,290,0.476,27,77,0.351,1.6,3.1,42.2,So,5-Jun,2.0,3.55635,114.356,1.8,2012,17642,all,,1.98303649,82.0,144.0,56.0,146.0,0.5694,0.3836,11.0,12.0,0.9167,52.0,98.388,94.3828,3.78851,245.171,5.84872,3.47921,2.36951,6.17105,34.2703,3.87627,2.29478,0.7568,3.7838,4.5405,6.3243,1.8108,0.5405,12.7027,Pure PG,3.56585
11,16109,Shabazz Napier,Connecticut,BE,34,86.6,107.4,23.6,47.3,52.46,2.3,8.5,32.6,20.7,110,148,0.743,77,184,0.418,59,166,0.355,0.8,2.9,42.3,So,Jun-00,13.0,3.99622,117.588,2.9,2012,18516,all,83.8,2.10637693,48.0,84.0,29.0,100.0,0.5714,0.29,0.0,0.0,,24.0,101.471,96.1535,3.63024,195.93,5.42218,4.83618,0.586005,4.68274,35.0294,3.35053,1.33222,0.6765,2.8529,3.5294,5.8235,1.6471,0.2647,12.9706,Pure PG,8.61408
12,17664,Pierre Jackson,Baylor,B12,37,77.5,111.8,26.1,55.0,59.41,3.4,7.3,37.9,25.6,106,129,0.822,103,205,0.502,68,168,0.405,0.3,3.5,34.6,Jr,10-May,55.0,4.44746,125.689,3.0,2012,23090,all,,1.6976624,74.0,129.0,29.0,76.0,0.5736,0.3816,7.0,7.0,1.0,42.0,98.9972,93.9663,3.48375,201.221,7.09519,6.56907,0.526119,7.93916,31.1081,6.24222,1.69695,0.8649,1.973,2.8378,5.9189,1.8108,0.0811,13.9459,Pure PG,8.70317
13,17671,Michael Carter-Williams,Syracuse,BE,26,18.1,112.5,18.6,49.1,50.78,3.9,11.7,34.3,19.5,13,23,0.565,18,40,0.45,7,18,0.389,2.9,4.6,39.7,Fr,5-Jun,1.0,1.05048,113.75,3.7,2012,23112,all,95.0,3.37487805,13.0,22.0,5.0,18.0,0.5909,0.2778,5.0,8.0,0.625,11.0,89.7959,86.2626,1.43225,57.4751,7.0076,3.80363,3.20397,6.86676,10.3462,2.4281,4.43866,0.3462,1.1154,1.4615,2.0769,0.7692,0.2692,2.6923,Pure PG,4.083
14,17946,Jerian Grant,Notre Dame,BE,34,89.3,110.9,21.2,46.8,53.38,1.8,7.5,29.5,15.6,113,138,0.819,67,165,0.406,57,161,0.354,0.5,2.3,42.3,So,5-Jun,22.0,4.08429,117.309,1.9,2012,23810,all,78.0,2.68260567,46.0,88.0,21.0,77.0,0.5227,0.2727,6.0,8.0,0.75,19.0,101.214,97.0918,3.62534,184.449,4.42374,4.13945,0.284283,5.09517,36.2353,3.49639,1.59878,0.5294,2.3235,2.8529,4.9706,1.2941,0.1765,12.2941,Pure PG,8.46803
15,18880,Peyton Siva,Louisville,BE,40,76.7,105.0,21.1,45.9,51.34,1.1,7.6,34.3,24.0,85,98,0.867,101,212,0.476,38,132,0.288,0.6,4.3,28.5,Sr,Jun-00,3.0,3.12814,113.272,3.3,2013,13289,all,93.4,2.15094325,75.0,125.0,26.0,86.0,0.6,0.3023,7.0,8.0,0.875,56.0,87.954,83.2111,4.54732,239.991,6.18906,3.46654,2.72252,6.25131,31.175,2.20725,4.04406,0.3,2.05,2.35,5.7,2.25,0.15,10.025,Pure PG,6.32748
16,19523,Lorenzo Brown,North Carolina St.,ACC,33,80.4,103.5,24.7,44.9,50.94,2.4,11.4,36.7,23.6,108,140,0.771,120,258,0.465,20,76,0.263,1.6,3.4,41.9,Jr,5-Jun,2.0,3.53875,113.825,2.3,2013,17642,all,,2.09651187,81.0,133.0,39.0,125.0,0.609,0.312,12.0,12.0,1.0,52.0,100.419,96.2932,3.50198,219.878,4.99859,3.359,1.63958,4.68851,34.2121,3.14485,1.54366,0.6667,3.6667,4.3333,7.2424,1.9697,0.5758,12.3636,Pure PG,3.88298
17,20303,Trey Burke,Michigan,B10,38,87.6,121.4,28.9,52.9,56.85,1.8,8.9,37.4,13.1,132,164,0.805,176,350,0.503,74,193,0.383,1.6,2.8,30.2,So,Jun-00,3.0,7.31804,144.075,2.1,2013,21380,all,81.6,3.11109036,67.0,105.0,109.0,246.0,0.6381,0.4431,9.0,9.0,1.0,9.0,98.2568,92.27,4.09053,235.865,11.2633,9.55955,1.70372,12.2776,35.3947,9.22369,3.05393,0.5263,2.6842,3.2105,6.6316,1.6053,0.5263,18.5789,Pure PG,8.98223
18,20743,Pierre Jackson,Baylor,B12,36,86.3,114.3,30.6,51.4,57.42,2.2,9.6,41.5,18.6,192,240,0.8,128,261,0.49,88,245,0.359,0.0,2.5,47.4,Sr,10-May,55.0,6.20243,135.657,2.6,2013,23090,all,,2.09014725,84.0,136.0,44.0,126.0,0.6176,0.3492,4.0,4.0,1.0,42.0,99.797,95.441,3.65086,214.001,8.91995,8.65576,0.264188,9.85462,34.7778,8.36336,1.49126,0.6667,3.0833,3.75,7.0833,1.5,0.0,19.7778,Pure PG,11.4254
19,20750,Michael Carter-Williams,Syracuse,BE,40,87.5,102.6,24.4,43.8,49.13,4.0,11.1,40.2,24.1,129,186,0.694,120,274,0.438,35,120,0.292,1.7,4.8,47.2,So,6-Jun,1.0,3.78583,115.092,2.6,2013,23112,all,95.0,2.14705882,86.0,146.0,34.0,126.0,0.589,0.2698,20.0,24.0,0.8333,11.0,86.8313,82.318,5.29067,299.662,9.12808,4.84479,4.28329,8.82116,35.2,3.95766,4.86349,1.275,3.6,4.875,7.3,2.775,0.475,11.85,Pure PG,5.16731
