,pick,mp,oreb,dreb,treb,ast,stl,blk,pts
2,,33.1852,0.6296,2.3333,2.963,1.963,0.4815,0.0,12.1852
6,,31.1111,2.1481,3.8889,6.037,1.8148,1.7778,0.7407,15.2593
8,,33.2667,0.8,3.9333,4.7333,4.1333,1.7333,0.8,10.5
9,,32.3,1.7333,3.4667,5.2,1.7333,1.2333,0.1,11.8667
13,,32.2059,1.6765,4.9706,6.6471,1.2353,0.4706,0.3824,16.8824
15,,30.2857,1.3143,3.2286,4.5429,3.8286,1.7143,0.6857,7.0571
22,,36.5517,0.6552,3.3793,4.0345,4.1379,1.2414,0.1379,17.1724
27,,34.8333,0.5,2.0333,2.5333,1.9,1.4,0.0333,15.4333
33,44.0,35.0323,0.9032,3.8387,4.7419,4.3226,1.4194,0.4516,19.5161
34,,31.1143,1.4,2.9143,4.3143,2.6571,1.3714,0.1143,9.3714
38,,32.5,2.9333,4.3,7.2333,1.2667,0.8667,0.6667,15.1667
40,,33.3333,0.8485,3.0,3.8485,5.3333,1.4242,0.2121,16.8788
51,,36.2759,0.3448,3.1379,3.4828,4.6207,1.3103,0.2759,16.6897
53,,36.0645,0.5806,2.6774,3.2581,1.6129,1.0323,0.0323,23.8387
72,,33.8387,1.3548,2.9355,4.2903,3.2581,1.2581,0.0323,13.1613
76,,30.2143,1.0,1.5714,2.5714,4.3929,0.8929,0.0357,4.1071
79,,35.8571,0.381,3.619,4.0,3.619,1.2857,0.0476,14.4286
89,,34.0286,1.3143,4.4286,5.7429,2.4571,1.2286,0.5143,18.3143
90,,35.0286,0.8,3.7429,4.5429,3.9143,2.0286,0.6,19.8
102,33.0,32.2703,3.027,4.6486,7.6757,2.4054,1.5405,1.027,16.4595
104,55.0,33.0811,1.0541,3.5676,4.6216,3.0,1.0811,0.4324,13.8378
108,,36.0833,1.0833,4.125,5.2083,1.75,1.3333,0.2083,17.2083
110,,32.9583,0.625,3.125,3.75,1.7083,1.0,0.125,14.5833
111,,35.2727,0.4242,2.6061,3.0303,5.0,0.7273,0.0,18.2727
112,8.0,35.6765,4.2059,6.8235,11.0294,1.4706,0.8824,1.7059,18.2647
113,44.0,37.6286,1.4,4.8,6.2,3.3714,1.4286,0.4571,18.0
115,,36.1081,1.6486,3.7568,5.4054,1.9189,1.0541,0.1081,24.5405
122,,32.9,0.6,2.4333,3.0333,1.5333,1.1,0.0,12.5333
123,,35.9286,0.8571,4.0357,4.8929,1.6429,0.6429,0.2143,14.2857
124,,33.1071,1.9643,4.5714,6.5357,2.0,0.7857,2.1071,16.1429
128,,33.871,1.0645,2.129,3.1935,5.0,1.4839,0.0968,12.0968
132,,30.7941,1.3235,2.7059,4.0294,2.7647,1.3529,0.3824,10.2647
135,,31.9688,0.5,1.5938,2.0938,2.625,1.1875,0.0,12.375
142,,32.2667,4.5667,5.2667,9.8333,0.9,0.6333,1.0,14.8333
144,,30.8333,1.0,1.4583,2.4583,1.7083,0.875,0.0,5.0833
147,,32.3704,2.0,4.3333,6.3333,2.4074,0.7778,0.4444,11.0
150,,32.3103,1.5172,4.1724,5.6897,1.8276,0.4138,0.2414,14.9655
152,20.0,35.4706,0.4706,3.1176,3.5882,6.1765,1.7059,0.1765,22.3529
154,,30.7333,1.9,2.6667,4.5667,1.1,0.4,0.5,14.0667
155,,31.0909,2.0909,4.5758,6.6667,2.303,1.5758,0.8788,16.3939
159,,30.4828,0.6552,2.7586,3.4138,3.4483,2.1379,0.3103,8.069
163,,30.5862,3.1379,5.4138,8.5517,1.0,0.7931,0.6897,14.0345
164,,32.8276,0.6897,4.3793,5.069,4.069,1.6552,0.069,13.931
167,,30.5,0.4286,3.1429,3.5714,0.9643,0.7143,0.0714,14.8929
171,,35.0,0.6,2.7333,3.3333,3.6333,1.0667,0.1667,13.6333
174,,34.5938,0.6562,2.4375,3.0938,3.5625,1.3438,0.0312,16.0312
178,,33.5455,1.303,2.8485,4.1515,4.1818,1.1818,0.2121,14.4545
184,,33.5806,0.4839,2.4516,2.9355,2.5484,0.5161,0.0,11.2581
185,,30.8,0.7143,2.7429,3.4571,2.8286,1.9714,0.1714,14.6286
186,,32.7667,0.7667,2.5333,3.3,2.2667,1.6667,0.3333,12.0
189,,34.4242,0.7879,1.8182,2.6061,1.4848,1.6667,0.1818,14.6364
190,14.0,34.2703,2.7568,5.9459,8.7027,3.2162,1.027,1.3784,14.1892
193,,36.1613,1.2903,2.4194,3.7097,0.8387,1.7742,0.0323,22.6129
206,,30.1212,1.2121,3.3636,4.5758,1.2424,0.6667,0.4242,7.303
207,,34.3571,1.7143,2.75,4.4643,2.3571,2.0,0.1071,10.5
211,,31.9697,0.4545,1.3939,1.8485,3.3939,2.1212,0.1212,11.7273
215,,35.0714,1.9643,3.2857,5.25,1.4286,0.75,0.0714,14.2857
218,,36.7647,1.0,3.0,4.0,4.4706,1.4706,0.3235,18.0882
221,,30.3448,2.5517,5.6552,8.2069,1.0,0.6897,0.4138,9.0
226,,32.625,1.875,3.4062,5.2812,1.0625,0.8438,0.5938,14.0625
230,,36.4062,1.7812,8.5625,10.3438,2.625,1.375,0.1875,15.375
232,33.0,31.5526,2.6053,4.8684,7.4737,1.2368,1.2368,1.2368,16.1053
234,,31.3793,0.8621,2.5517,3.4138,4.9655,2.1379,0.3103,10.9655
241,,36.9333,0.6,4.6333,5.2333,2.6333,1.9667,0.3667,17.1333
243,28.0,34.5714,1.0571,4.3429,5.4,5.0286,1.4,0.3714,17.5143
246,,31.8214,1.0357,2.5357,3.5714,2.25,0.4643,0.0357,8.6786
248,,31.0769,1.5,2.7308,4.2308,1.0385,1.0,0.5385,12.3462
262,,33.8235,2.5,6.6765,9.1765,1.2353,1.0882,0.6176,14.0294
263,32.0,32.0333,1.9,3.3,5.2,1.8,1.2333,0.7333,26.0333
280,,37.3429,0.4286,3.8,4.2286,4.7429,1.3714,0.2571,12.2857
281,,30.7273,2.8182,5.5758,8.3939,1.303,1.8485,1.2727,13.6667
285,,35.1667,0.4333,1.7,2.1333,3.8333,0.8333,0.0333,13.0333
289,,30.0857,1.2571,5.9429,7.2,1.6286,0.9429,0.0286,12.6857
292,,31.2857,1.5,3.4286,4.9286,2.1786,1.1071,0.4286,15.6071
296,,35.6897,0.7586,3.6897,4.4483,1.4138,0.931,0.1379,17.6207
299,,34.6207,0.4138,3.1724,3.5862,2.6207,0.8966,0.2069,18.2069
305,,34.8286,1.7143,2.9143,4.6286,1.9714,2.6,0.8,16.2286
306,,37.9032,1.129,3.2903,4.4194,4.0,1.1613,0.0968,15.6129
316,,30.3333,0.6,1.8,2.4,2.3333,1.2667,0.2,5.3667
317,,37.25,0.6562,3.5625,4.2188,4.375,1.1562,0.125,11.7188
320,,31.5185,0.5185,2.5185,3.037,3.8889,0.8519,0.0,13.037
321,,34.5161,0.8065,2.6452,3.4516,3.7097,2.129,0.0645,20.9032
335,,32.8929,2.25,4.6071,6.8571,0.6786,0.5,0.6071,19.8929
338,,30.3939,1.0606,3.2727,4.3333,1.697,0.8485,0.2121,13.6364
351,,30.2424,0.303,3.2727,3.5758,3.1515,0.6667,0.0606,11.7273
355,,30.1,1.5333,5.6,7.1333,1.9667,0.9333,0.2,10.3
356,,30.5172,0.2759,1.2759,1.5517,2.4828,1.5517,0.1034,12.0
357,,33.1034,1.3793,4.3793,5.7586,5.1034,1.4483,0.5172,10.4138
361,,34.5714,0.6071,2.7143,3.3214,4.8214,2.0357,0.0357,11.4643
369,,33.8276,3.069,7.069,10.1379,1.6897,2.069,3.8966,11.3448
373,,33.68,0.68,2.44,3.12,4.44,1.52,0.08,6.44
374,,34.5882,1.7353,4.9118,6.6471,2.9706,1.5294,0.4118,12.9706
377,,34.6667,1.5152,1.8485,3.3636,2.1515,1.6061,0.5152,14.6061
391,,34.5714,3.1429,6.8571,10.0,1.6857,0.5429,1.1429,13.7143
392,,34.9667,0.3333,2.4,2.7333,3.0,0.9667,0.0333,16.2333
393,,35.0714,2.1429,3.0357,5.1786,0.8214,1.0357,0.5,14.2143
394,,32.871,0.6129,2.1935,2.8065,4.5161,2.871,0.129,19.8065
398,,32.5926,1.7037,2.7778,4.4815,2.9259,1.8519,0.037,13.5556
401,,33.069,1.1724,2.4828,3.6552,2.4138,0.8966,0.1034,11.7931
407,,35.5,0.375,3.2188,3.5938,6.4062,1.0312,0.0625,13.8438
411,,36.0,0.5,2.5625,3.0625,1.6562,0.9688,0.0625,17.9062
419,,32.375,1.625,3.75,5.375,2.0,0.75,0.0938,12.4688
420,,33.0968,1.1613,2.7097,3.871,2.129,1.0323,0.5806,12.0968
445,,32.75,0.7188,2.375,3.0938,2.6562,0.9375,0.0625,15.4062
454,,35.7714,0.8,4.0571,4.8571,3.5143,1.5143,0.4857,13.9143
462,,33.8667,1.1667,2.3,3.4667,1.4667,0.8333,0.3333,13.3333
478,13.0,30.2647,3.0294,5.0882,8.1176,1.0,1.2353,0.3529,20.7059
486,,32.1935,0.9677,1.7097,2.6774,1.8387,0.8387,0.0645,15.4516
498,,30.8462,0.9231,3.0385,3.9615,6.7308,1.6154,0.1538,13.2692
506,,31.9118,0.8235,1.9412,2.7647,2.5,1.7941,0.0,9.3529
507,,30.129,0.2258,1.6774,1.9032,2.0968,1.4194,0.0323,14.129
514,,36.7353,1.7941,3.6765,5.4706,5.7059,1.6471,0.0882,19.3235
521,,31.5161,0.2581,2.3871,2.6452,3.4516,1.0323,0.0,7.7419
522,,34.2973,1.0541,3.7568,4.8108,4.4865,1.4324,0.4595,10.2432
523,,31.7879,0.3333,1.6061,1.9394,4.2121,1.0606,0.0,11.6667
535,,35.3333,0.2917,1.3333,1.625,2.6667,1.125,0.0417,9.5833
550,58.0,36.5333,2.2,5.8667,8.0667,4.1333,2.1,0.6,27.7333
556,,32.3846,0.6538,2.1538,2.8077,2.3077,1.1154,0.0385,12.2692
562,,30.4333,1.1667,3.0333,4.2,2.0333,0.8667,0.1667,11.4333
564,,37.5484,2.4839,5.0645,7.5484,2.4194,0.7097,0.6129,22.0645
581,,33.7778,4.1111,7.7037,11.8148,1.9259,1.3333,1.0741,15.7037
584,,33.5,0.25,2.05,2.3,3.45,0.85,0.0,10.7
586,,32.871,0.2903,3.0,3.2903,5.129,0.9032,0.129,9.3226
589,,30.1786,1.5357,4.3571,5.8929,1.7857,1.1786,0.7143,9.6071
591,,34.6296,0.4074,2.3333,2.7407,1.2222,1.037,0.0,11.0
594,50.0,31.303,3.8788,5.0909,8.9697,2.0606,0.3939,1.5152,10.9394
596,,30.1613,0.4516,3.2258,3.6774,2.6774,0.6452,0.0968,6.6774
600,,30.8125,0.4062,2.25,2.6562,4.5312,0.75,0.0938,8.0
613,,32.2903,0.6774,1.7742,2.4516,1.7742,1.0323,0.0645,15.3871
617,,32.9706,0.4118,1.6176,2.0294,4.7647,0.9412,0.0,8.7647
619,,36.0909,0.7576,2.5455,3.303,2.0909,1.1212,0.1515,14.3939
621,26.0,33.6857,3.5143,5.5143,9.0286,1.2571,0.9714,2.8571,14.2857
631,,30.4194,1.0323,3.5161,4.5484,1.0645,0.4194,0.1613,8.0323
633,,34.4333,0.8667,4.2,5.0667,2.2,1.4,0.1,14.4333
643,,36.3529,0.6765,2.2941,2.9706,1.7059,1.1176,0.1765,18.9118
646,51.0,32.2903,0.5806,2.5806,3.1613,2.8065,0.7419,0.0323,19.3226
652,,32.8571,0.1429,3.7143,3.8571,3.1429,1.2857,0.0,14.0
657,,31.0741,0.4444,1.6667,2.1111,2.0741,2.1111,0.0,11.1481
664,,34.0952,0.5714,1.619,2.1905,5.5238,1.9524,0.0,9.4286
671,,36.5484,1.129,4.9677,6.0968,2.129,1.5806,0.4839,15.2903
676,,32.6207,0.7586,3.1034,3.8621,3.1379,2.6897,0.0,8.5517
677,30.0,31.6857,2.8286,5.8,8.6286,1.1143,1.0,0.2571,16.2857
680,,30.7778,2.3056,5.6944,8.0,2.1944,1.0278,0.7222,12.0278
699,,30.3143,1.7429,4.4286,6.1714,1.4571,1.7143,0.5143,10.1143
704,,30.6129,1.0,2.8065,3.8065,3.5484,1.9677,0.1935,6.871
708,,30.1935,2.3226,3.3226,5.6452,1.9677,0.7097,0.5484,10.5484
724,,31.5556,0.963,3.2963,4.2593,3.0741,1.8519,0.2222,13.7778
727,,33.6538,0.3846,2.4615,2.8462,2.6923,0.8846,0.0769,17.7692
730,,32.0938,3.75,5.875,9.625,1.7812,1.3125,0.4375,12.2188
731,,32.4375,1.5625,3.8438,5.4062,1.5,1.4062,0.375,18.5
738,,33.3929,0.8929,2.2857,3.1786,2.2857,1.25,0.0,16.5
749,,32.3793,0.3793,2.8276,3.2069,2.7241,0.8276,0.2414,7.7241
750,,31.2414,0.3793,2.0345,2.4138,1.6207,0.5517,0.1724,11.2759
758,,30.9118,2.4412,4.2059,6.6471,0.7647,1.1471,0.7647,15.5882
759,,32.1316,0.5263,2.3421,2.8684,3.3684,1.5526,0.1053,15.2105
763,,30.7812,0.4688,2.8438,3.3125,3.0625,1.0312,0.3125,11.625
773,39.0,30.7353,2.3235,4.3235,6.6471,1.9412,1.2353,0.5294,12.6471
775,,30.0303,0.8182,2.5758,3.3939,4.7576,1.3939,0.1515,10.3333
776,,31.4194,3.6452,4.7097,8.3548,1.129,1.1613,0.871,12.5484
777,,32.3871,0.7419,2.9355,3.6774,4.3871,1.6452,0.0,10.6774
780,,34.1935,0.7097,4.0645,4.7742,2.4516,1.3226,0.6129,15.5161
781,,32.8571,1.7143,4.0,5.7143,1.8571,1.4286,0.2857,9.7143
784,,31.2258,0.7419,3.3871,4.129,3.0,1.1613,0.2581,9.7742
785,,30.2258,0.4194,1.9677,2.3871,0.7742,0.5806,0.2258,10.8387
787,,30.5484,0.3871,2.129,2.5161,4.5161,1.3548,0.0323,9.7419
794,,32.0714,0.5357,3.2143,3.75,1.4643,1.1786,0.2857,11.8214
795,,30.8182,0.697,2.9394,3.6364,2.1515,0.8485,0.0606,14.3333
798,,30.2903,0.2903,1.9355,2.2258,1.6129,0.7419,0.0,16.3226
800,,32.3333,0.4848,2.9091,3.3939,3.4848,1.6364,0.1212,15.1212
802,,32.0357,2.1071,6.1071,8.2143,0.8929,0.5714,1.2143,15.8571
808,,31.7,1.2667,3.2667,4.5333,2.2667,0.9,0.2,18.0667
812,,31.6129,0.7097,2.0645,2.7742,1.2258,0.4839,0.0,12.3871
813,,31.8696,0.7826,2.3043,3.087,2.6957,1.1304,0.2609,9.087
815,,30.7059,2.7059,4.7647,7.4706,2.1765,0.8529,1.0,14.1765
816,,32.5294,0.9706,1.7059,2.6765,1.9118,0.6765,0.1176,17.4118
821,,30.4118,2.8529,6.0,8.8529,0.6765,0.8824,1.5882,12.4118
825,,36.1613,1.6129,3.2581,4.871,2.7742,2.0323,0.2581,21.4839
836,,33.0968,0.2903,3.2258,3.5161,3.1935,1.129,0.1613,12.4839
848,,35.871,0.8065,3.0,3.8065,2.5484,0.6774,0.3871,8.129
850,,33.3214,0.5357,2.2857,2.8214,3.0357,1.0714,0.25,8.0357
854,,30.3226,0.2903,1.8065,2.0968,4.3548,1.4839,0.0323,7.0645
863,,31.2333,0.4,1.3667,1.7667,3.0333,1.0333,0.0,13.5667
865,,33.3571,0.7143,1.7857,2.5,2.7143,1.3571,0.2143,11.5714
877,22.0,30.4545,4.303,8.9091,13.2121,1.3333,1.7879,1.9697,13.4848
882,19.0,31.9677,0.4839,2.8065,3.2903,3.5484,1.871,0.6452,18.8387
883,16.0,30.5161,2.5484,5.9677,8.5161,2.0,1.4194,1.5484,15.0
893,,34.7419,0.4194,2.7742,3.1935,2.871,0.6452,0.0,9.8065
895,,34.7097,0.8065,4.129,4.9355,3.0968,1.2903,0.4194,15.4516
898,,32.4857,2.6286,4.5429,7.1714,1.9429,1.5714,0.6571,16.2571
903,,34.1,0.2,1.6,1.8,3.4667,0.6667,0.0667,12.4333
906,,35.1333,1.0333,4.9,5.9333,1.7,0.7667,0.2667,19.1667
913,,31.2069,0.4138,3.7931,4.2069,2.3793,0.8276,0.3448,12.8966
919,,35.5862,0.2069,2.7586,2.9655,2.1724,0.7586,0.1379,12.9655
929,,31.3824,0.7353,3.3529,4.0882,3.5,0.7941,0.8824,10.9706
945,,34.5357,1.3214,5.6429,6.9643,3.8214,0.8571,0.0714,6.1429
947,,32.6571,1.5143,4.8,6.3143,3.2,2.4571,0.6286,16.7143
955,,31.8857,0.5429,2.0286,2.5714,3.7143,1.8571,0.4286,13.4
958,,31.1852,2.1852,4.1481,6.3333,2.2222,0.5185,0.6296,11.9259
961,,30.9688,2.0,4.0312,6.0312,1.625,1.7188,0.4375,14.1562
969,,32.5862,0.5517,2.2069,2.7586,2.2759,1.2069,0.069,15.069
971,,33.16,0.16,2.28,2.44,2.24,1.48,0.0,11.32
980,,31.0,1.4194,5.2258,6.6452,2.3548,1.2581,0.1613,16.1613
995,7.0,33.8182,0.5758,3.9091,4.4848,5.4242,2.3333,0.2121,28.6364
998,,34.129,0.4839,3.6129,4.0968,2.0,1.4194,0.0,17.9032
999,,30.037,0.4074,2.6296,3.037,1.8519,1.5556,0.3704,13.1852
1004,,31.1,0.6,2.4,3.0,1.5,0.8,0.2,18.3
1006,,30.6842,1.3684,3.4737,4.8421,1.5789,0.5263,0.3158,14.4211
1007,,31.6207,2.8276,4.4483,7.2759,1.1379,0.7586,1.4828,9.5172
1008,,30.2727,2.1212,5.0303,7.1515,5.1212,2.0909,0.5152,16.1818
1011,,30.5882,1.8824,3.2941,5.1765,1.8235,0.9412,0.2941,10.7647
1019,,32.8387,2.6129,5.4516,8.0645,1.1935,1.0645,0.4516,17.7419
1021,,30.6818,2.5909,5.7273,8.3182,0.9091,0.5909,0.8182,16.8636
1022,,35.8261,0.4348,2.4348,2.8696,4.9565,1.4348,0.0,10.7391
1027,,32.3333,1.8333,2.2333,4.0667,1.0333,0.7,0.5667,12.3
1030,,32.5667,0.7333,4.8667,5.6,3.7667,1.3667,0.1333,18.0333
1031,,30.8,0.9667,3.8667,4.8333,1.3333,0.7,0.5333,10.9
1041,,31.6333,0.6667,2.9333,3.6,2.7,1.3333,0.0333,14.2333
1043,,33.5185,0.5926,3.1852,3.7778,7.5926,1.1481,0.037,10.9259
1044,,31.5926,0.3333,3.4444,3.7778,1.1852,0.7778,0.0741,11.5185
1049,,34.0938,0.625,3.0938,3.7188,4.5312,1.5312,1.1875,6.0625
1050,,34.9688,0.3125,2.3438,2.6562,2.625,1.625,0.0938,12.4688
1053,51.0,36.697,0.303,3.2727,3.5758,2.4848,1.0303,0.303,11.2121
1055,2.0,36.4242,1.697,5.3939,7.0909,3.9697,1.7576,0.8182,17.3333
1067,,31.4,1.4,1.8,3.2,3.5,1.6,0.3,15.3
1078,,30.8214,1.2857,3.3214,4.6071,1.4286,0.7143,0.1786,14.0357
1079,,34.8485,0.6667,2.5455,3.2121,3.8788,1.7273,0.1818,17.4848
1089,,30.0769,0.2308,1.6538,1.8846,4.7692,1.4615,0.0,5.6154
1095,,30.8,0.8667,2.5,3.3667,2.5333,1.0333,0.0,15.2667
1097,,30.5588,0.3235,2.3235,2.6471,4.5882,0.9412,0.2059,11.5
1104,,33.0909,0.6667,2.3939,3.0606,1.6667,0.4242,0.1212,10.303
1108,,32.8378,1.1351,2.4865,3.6216,2.7568,1.5676,0.1622,14.8649
1110,,32.4783,0.7391,2.3478,3.087,3.6957,1.2609,0.0435,14.3913
1112,,35.5714,0.8095,2.6667,3.4762,4.4286,0.8571,0.0,13.4286
1118,,36.9091,0.7273,2.5455,3.2727,1.303,1.5455,0.1515,18.0
1123,,30.1724,1.5172,3.4138,4.931,1.2069,1.0345,0.1034,9.5172
1129,54.0,36.4706,0.7059,4.2353,4.9412,2.0588,1.0294,0.6176,17.6471
1130,,31.7143,0.8,2.8571,3.6571,5.6857,2.2,0.0857,14.3143
1131,,31.7143,0.8286,3.9429,4.7714,1.9143,1.7429,0.3429,13.9429
1138,,34.1852,1.1852,3.963,5.1481,3.1111,0.7407,0.2222,13.6667
1140,,34.5517,0.4483,3.4483,3.8966,2.5862,1.5172,0.1724,12.3793
1141,,30.2414,1.6897,5.5517,7.2414,2.2069,2.0,0.4483,13.7586
1146,,31.6562,0.3438,2.6562,3.0,4.5312,1.0938,0.125,12.0
1151,6.0,37.4865,0.5946,2.2162,2.8108,6.7027,1.3514,0.1622,17.4595
1168,,31.2333,4.3667,10.1667,14.5333,1.0,0.5333,2.6667,18.0333
1172,,34.5484,1.3871,2.8387,4.2258,4.5484,2.6774,0.0645,14.6129
1174,,38.25,2.0938,4.4375,6.5312,3.2188,1.75,0.375,18.0
1178,,32.871,0.3548,1.5806,1.9355,3.6774,1.2903,0.0645,9.871
1179,,37.0857,0.2,2.3714,2.5714,3.4286,0.6286,0.0857,14.6286
1182,,31.7188,1.0,6.1875,7.1875,1.7812,1.4375,0.3125,15.4688
1184,,35.5862,0.8621,2.6207,3.4828,2.6897,1.0345,0.1724,15.8621
1189,11.0,34.2162,1.3784,7.1892,8.5676,5.0,2.3243,0.7838,12.5135
1198,,34.8108,2.0,4.3514,6.3514,1.2432,0.3784,0.1351,14.3514
1200,,35.6364,0.8788,2.697,3.5758,3.3939,1.6667,0.3333,15.6667
1202,,31.6774,0.9677,2.5484,3.5161,0.8387,1.1613,0.5484,15.3871
1205,,30.0968,1.4194,3.0968,4.5161,0.2581,0.5484,0.3871,17.0968
1220,25.0,37.4516,1.9677,3.6129,5.5806,3.9355,1.3226,0.3871,18.0968
1224,,32.1,0.6667,2.2,2.8667,3.2333,1.7333,0.0667,13.2333
1231,,30.3929,3.3929,3.0714,6.4643,0.5,0.6429,0.3571,17.9286
1234,,30.3636,0.2424,2.2424,2.4848,1.0606,0.5152,0.0,10.4848
1236,,32.4348,1.3043,4.913,6.2174,4.6957,3.1304,0.5652,19.3043
1237,,34.1111,1.5556,3.0,4.5556,2.8889,3.1852,0.9259,22.1852
1238,,30.1429,2.8571,3.0357,5.8929,2.8929,2.2857,0.75,8.6429
1241,38.0,30.8485,4.2424,7.303,11.5455,1.1818,0.9091,0.0909,14.8485
1244,,31.8788,0.7879,2.5152,3.303,1.7879,0.697,0.0606,16.2121
1245,,31.1471,2.0,3.8529,5.8529,2.2353,0.9118,0.5,13.6471
1246,,32.6207,1.7241,3.4483,5.1724,2.6207,2.3103,0.6552,10.1724
1253,,30.2258,0.4194,2.6452,3.0645,1.9677,1.4516,0.0645,10.1613
1264,,35.9688,0.7812,3.2812,4.0625,2.0938,1.1562,0.0,13.75
1265,,33.2,0.7,3.0,3.7,1.4333,0.8,0.1667,15.8
1269,,32.3448,3.1724,5.1379,8.3103,1.3793,1.1724,0.5862,11.6897
1275,21.0,31.5143,0.4571,1.9429,2.4,4.7429,1.6286,0.1429,14.4
1277,18.0,30.2647,0.6471,2.3235,2.9706,6.5882,2.1471,0.1471,16.5294
1279,,31.8485,1.8485,7.0303,8.8788,1.2121,0.4545,2.7273,16.4545
1280,,33.2222,0.4167,2.0833,2.5,3.1667,1.1944,0.0,10.6389
1282,,36.9677,1.2903,4.4516,5.7419,4.0968,2.871,0.0968,18.3871
1284,28.0,30.6486,1.5405,3.3784,4.9189,2.7027,0.8919,0.1622,15.8919
1287,,32.3226,0.6774,3.871,4.5484,1.6452,0.871,0.4839,10.7742
1288,,31.0476,1.5238,5.1905,6.7143,2.0952,0.4286,2.7143,10.4762
1290,,30.1538,0.3077,2.9615,3.2692,2.7692,1.1923,0.0,11.1538
1292,,32.2222,2.0741,2.963,5.037,2.0,0.7407,1.7407,12.1852
1296,,34.5882,2.4706,5.1176,7.5882,2.2647,2.0882,2.4412,13.0882
1300,,35.25,0.75,3.5,4.25,1.5,2.0,0.0,11.75
1301,,30.0303,1.0303,3.8485,4.8788,1.4242,0.697,0.3939,11.7273
1313,,30.2143,2.9643,5.2143,8.1786,1.8929,1.2143,0.3214,14.8571
1316,,35.1852,0.8519,4.5556,5.4074,4.2222,2.3704,0.6667,17.8148
1321,23.0,30.6875,3.3438,6.375,9.7188,1.6875,1.4688,1.9688,15.3438
1322,,33.3939,0.6061,2.9091,3.5152,2.1515,1.0909,0.2121,12.6061
1324,,36.2188,0.7188,2.5625,3.2812,4.0,2.1875,0.0,16.875
1338,,30.9,0.8333,3.4,4.2333,2.5,1.4667,0.0333,11.7
1339,,35.0606,1.4848,6.3636,7.8485,2.1515,1.3636,0.5152,15.4242
1347,,30.4118,0.5294,3.7059,4.2353,1.4118,0.5294,0.3529,14.2059
1348,,30.7647,1.7647,6.3235,8.0882,1.9706,0.6765,0.6471,11.2647
1363,36.0,31.8529,1.8824,4.3529,6.2353,1.0294,1.0,0.7941,19.1176
1366,,34.0357,0.8929,3.3929,4.2857,1.0357,2.0357,0.1429,15.7143
1377,,33.5385,0.3846,1.9615,2.3462,4.1538,0.8846,0.1154,10.9615
1380,,32.9375,1.4688,4.7812,6.25,3.375,0.875,0.9062,17.0
1390,,30.0714,0.3214,3.0357,3.3571,1.9643,1.0357,0.25,10.4643
1393,,30.6786,1.3214,4.8929,6.2143,1.6786,0.5357,0.2143,6.5714
1395,,33.2121,1.0909,3.0909,4.1818,3.4545,1.2121,0.7273,10.9697
1401,,35.0909,2.9394,3.2424,6.1818,1.0303,0.7273,0.3333,15.5455
1408,,31.871,2.0645,2.9032,4.9677,1.4839,0.871,0.3548,11.7742
1409,,35.2581,0.9677,4.0,4.9677,3.3871,1.871,0.1613,17.7742
1410,,36.0645,0.6129,3.4194,4.0323,4.6774,1.3226,0.0,15.3548
1413,,32.7826,1.9565,5.913,7.8696,1.087,1.3043,0.3913,16.2609
1416,,30.2759,2.2414,4.1379,6.3793,1.4828,1.0345,0.3793,15.4138
1417,,33.9333,1.8,3.3667,5.1667,3.1333,1.3667,0.2,4.5333
1434,,31.6667,0.7273,2.6667,3.3939,1.5152,0.697,0.2424,11.7576
1435,,30.1765,1.2059,3.1471,4.3529,3.4118,2.2059,0.0882,7.4118
1439,,35.5333,1.0,2.8,3.8,6.2333,2.8667,0.0,25.6333
1440,,31.3571,0.6786,2.4643,3.1429,1.5714,1.3214,0.25,13.4286
1447,,36.0,1.0286,3.6857,4.7143,2.0571,1.1429,0.3714,16.1143
1449,,34.1,1.4,4.1,5.5,2.4,1.3,0.0,15.3
1450,,32.0769,1.3462,3.5,4.8462,1.3462,0.6154,0.6923,8.0385
1452,,38.303,1.0303,3.4242,4.4545,3.5152,1.4545,0.0303,12.8182
1453,,32.6364,1.3636,4.8485,6.2121,2.4545,1.5758,0.1818,11.1818
1455,,34.6071,0.9286,2.8214,3.75,4.5714,1.75,0.3214,8.3571
1467,,30.4615,1.9615,3.8077,5.7692,2.6923,1.3462,0.5,10.7308
1468,,37.0,0.7742,4.5806,5.3548,4.7097,1.2903,0.3226,15.2581
1469,,30.1724,1.3793,3.2069,4.5862,2.4828,0.8276,0.2069,9.069
1470,2.0,31.6286,3.6857,7.0286,10.7143,0.4857,0.6286,4.2,13.5714
1473,,34.8235,1.5,4.6765,6.1765,2.4412,1.5294,0.4118,14.0
1474,,31.56,0.64,1.88,2.52,0.6,0.92,0.2,12.2
1476,,35.9688,1.0,3.6875,4.6875,2.6562,1.5,0.1875,14.3438
1478,,33.5862,0.3793,1.3448,1.7241,5.0345,1.2069,0.0345,7.8276
1487,60.0,30.2162,2.8649,4.5946,7.4595,1.4324,1.2703,1.6486,12.8919
1491,,32.8,0.7714,2.8286,3.6,6.4,1.5714,0.1714,8.6571
1492,,33.5429,1.5714,3.3429,4.9143,2.1429,1.4857,0.9714,15.0286
1501,,30.6471,2.0588,4.3235,6.3824,1.4706,1.0882,0.2941,10.5882
1507,,30.7931,2.069,3.3103,5.3793,1.2759,0.7241,0.4483,12.069
1513,,32.2,0.5,2.7,3.2,1.0,0.6,0.3,12.1
