,pick,mp,oreb,dreb,treb,ast,stl,blk,pts
33688,,33.3226,0.8065,2.6774,3.4839,2.3548,1.6452,0.4516,12.9677
33689,,31.5,0.8667,3.0667,3.9333,0.9,0.6667,0.2,13.0333
33691,,34.7037,0.5556,3.963,4.5185,2.4815,1.0,0.1852,13.4074
33692,,34.3333,1.7037,4.5556,6.2593,2.8519,1.4815,0.4815,19.7778
33693,,31.4333,1.2,4.8,6.0,2.9333,0.9333,0.5,12.0333
33694,,30.1212,1.4848,4.9091,6.3939,0.9697,0.2121,0.6061,10.1212
33703,,30.2727,0.3939,2.0606,2.4545,2.9394,1.0909,0.1212,10.697
33706,21.0,37.25,1.4167,6.3333,7.75,4.4722,1.4167,0.8333,17.4167
33722,,31.3235,3.3235,2.7941,6.1176,0.9706,0.4118,2.0882,14.9118
33727,,30.0286,0.5429,4.7429,5.2857,1.0,1.0,0.3429,11.2571
33736,,30.3548,0.2258,2.1613,2.3871,2.5806,0.6452,0.0323,9.0
33740,,33.6,0.4857,3.9429,4.4286,1.7429,0.8286,0.2286,10.9714
33746,,30.7241,0.4828,2.6897,3.1724,2.8966,1.4828,0.2069,11.4483
33752,,37.7143,0.6429,1.5357,2.1786,2.75,2.0,0.1786,26.8929
33758,,32.0667,0.4333,2.7,3.1333,2.5,0.7667,0.1,12.5333
33759,,34.7333,0.7333,2.1,2.8333,1.9667,1.0333,0.0,12.2667
33760,,32.4706,3.6471,3.8824,7.5294,1.0588,0.8824,0.2941,8.0
33771,,33.3871,1.7097,3.2903,5.0,5.0,1.3226,0.3548,11.8065
33778,,31.4516,1.4839,3.9677,5.4516,1.3226,0.6129,1.2258,9.7419
33780,,37.3438,0.5312,2.375,2.9062,5.25,0.7812,0.0625,10.8438
33785,,30.2188,1.2188,3.6562,4.875,2.9375,0.5938,0.2188,14.6562
33789,,32.4286,0.4,2.1143,2.5143,2.5143,1.0571,0.0,7.0571
33790,,32.7714,1.6571,3.9714,5.6286,2.8,0.8857,0.1429,11.7714
33793,,30.7407,0.7778,1.5926,2.3704,2.5556,1.8148,0.1111,14.4444
33796,,33.625,0.6562,4.0,4.6562,3.7188,1.1562,0.125,13.875
33797,,31.2,0.3333,2.3667,2.7,4.6333,0.5667,0.0,10.1667
33803,,31.5152,1.4545,4.8788,6.3333,1.0909,0.9697,2.5455,18.9091
33812,,36.3448,1.1724,3.7931,4.9655,3.4138,1.8621,0.2069,20.6552
33814,,31.2778,0.75,3.1111,3.8611,0.7778,0.8056,0.8333,12.0278
33819,,30.9333,0.5333,2.7333,3.2667,3.6667,0.8333,0.1,12.8333
33820,,33.3448,1.5517,9.5172,11.069,1.5172,0.6897,1.069,15.3793
33828,,33.4167,1.7083,3.2917,5.0,1.5,0.9583,0.5417,21.875
33829,,36.1667,1.6,4.7,6.3,2.2667,1.0333,0.3333,13.6333
33830,,30.5,0.5667,4.8333,5.4,2.0,1.1667,0.0,9.4333
