,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4653,JaJuan Johnson,Purdue,B10,35,77.8,107.9,25.4,50.7,56.05,8.8,18.0,5.4,13.6,158,220,0.718,192,375,0.512,0,4,0.0,7.0,1.6,58.0,Jr,10-Jun,25,3.86202,120.272,2.6,2010,203,all,91.6,0.41272224,49.0,73.0,143.0,302.0,0.6712,0.4735,30.0,31.0,0.9677,27.0,88.7911,83.5282,4.6405,233.811,6.00934,0.885954,5.12339,6.89002,31.2286,3.64934,3.24067,2.3429,4.8,7.1429,0.7429,0.8571,2.0571,15.4857,C,0.218406
4655,Tyrone Nash,Notre Dame,BE,35,65.3,111.9,17.8,54.2,56.63,10.4,13.1,11.7,18.0,80,133,0.602,96,177,0.542,0,0,0.0,1.8,1.6,75.1,Jr,8-Jun,1,2.49134,111.992,4.4,2010,210,all,61.8,1.2291819,78.0,130.0,18.0,47.0,0.6,0.383,9.0,11.0,0.8182,,106.202,100.995,2.31209,151.05,4.75233,3.18358,1.56875,2.43533,26.4,1.58985,0.845477,2.2571,2.9714,5.2286,1.6857,0.6857,0.4571,7.7714,C,0.0
4664,Andrew Fleming,Long Beach St.,BW,28,16.4,108.5,9.5,63.0,60.06,8.4,14.7,1.8,20.4,3,8,0.375,17,27,0.63,0,0,0.0,8.9,0.0,29.6,Sr,Jul-00,50,0.208455,92.743,7.2,2010,238,all,,0.28560001,12.0,13.0,5.0,14.0,0.9231,0.3571,3.0,3.0,1.0,,101.249,99.025,0.69533,38.3784,1.08498,-2.68632,3.77131,-0.844379,7.3571,-3.32723,2.48286,0.5714,0.9643,1.5357,0.0714,0.0,0.6429,1.3214,C,0.0
4674,Graeme Radford,Stetson,ASun,26,28.9,71.6,10.3,35.0,32.96,8.0,15.7,1.3,18.6,4,18,0.222,14,40,0.35,0,0,0.0,7.0,0.4,45.0,Jr,10-Jun,13,-1.00351,60.405,5.9,2010,284,all,,0.19994799,12.0,24.0,2.0,16.0,0.5,0.125,4.0,4.0,1.0,,108.426,110.683,0.658813,52.8022,-7.04873,-7.02883,-0.0198999,-8.15082,12.0,-6.86769,-1.28314,0.8846,1.4615,2.3462,0.0769,0.0769,0.7692,1.2308,C,0.0
4687,Jeremy Evans,Western Kentucky,SB,34,65.3,129.2,17.3,65.6,66.82,13.5,17.8,5.9,14.0,64,93,0.688,134,199,0.673,3,12,0.25,7.2,1.9,44.1,Sr,9-Jun,40,3.49748,123.099,4.4,2010,331,all,,0.69446545,113.0,139.0,21.0,60.0,0.8129,0.35,61.0,64.0,0.9531,55.0,95.1372,95.7192,2.78986,192.491,8.08383,3.91722,4.16661,6.18888,26.5,4.051,2.13788,2.9706,3.9412,6.9118,0.7353,0.8235,1.7941,10.0294,C,0.806003
4690,Kenneth van Kempen,Ohio,MAC,36,68.4,96.8,14.4,46.2,48.3,6.8,18.8,5.2,17.2,27,37,0.73,108,229,0.472,0,5,0.0,2.4,1.2,15.8,Sr,10-Jun,12,0.447643,89.2174,4.8,2010,334,all,,0.60465506,31.0,50.0,77.0,179.0,0.62,0.4302,0.0,0.0,,,96.9549,96.122,2.88601,202.14,-0.420004,-2.06102,1.64102,-2.04294,27.9444,-2.4707,0.427754,1.6944,4.8889,6.5833,0.7222,0.5556,0.6389,6.75,C,0.288158
4711,Sam Singh,Bradley,MVC,28,32.1,80.2,12.8,40.4,42.48,10.9,15.2,5.2,32.3,10,20,0.5,19,47,0.404,0,0,0.0,3.3,1.1,42.6,Sr,9-Jun,54,-0.548805,73.3628,4.7,2010,408,all,1.6,0.40744582,13.0,22.0,6.0,25.0,0.5909,0.24,0.0,0.0,,,103.383,99.1735,1.34621,69.3959,-1.56254,-3.34827,1.78573,-3.62901,14.3214,-3.89669,0.267677,1.25,1.9286,3.1786,0.3929,0.25,0.3929,1.7143,C,0.0
4719,George Valentine,Winthrop,BSth,6,10.1,78.5,15.6,41.7,41.06,8.0,17.3,6.7,24.3,4,11,0.364,10,24,0.417,0,0,0.0,0.9,1.4,45.8,Jr,8-Jun,43,-0.821493,72.9965,4.4,2010,438,all,,0.50003751,8.0,13.0,2.0,11.0,0.6154,0.1818,1.0,1.0,1.0,,93.7365,93.7961,2.33484,22.7112,-5.44014,-6.19224,0.752104,-4.2476,21.0,-4.38862,0.141014,1.6667,3.1667,4.8333,0.6667,0.5,0.1667,4.0,C,0.0
4758,Andre Stephens,Southern Miss,CUSA,21,12.3,96.0,20.1,50.0,51.72,13.3,17.4,0.0,21.6,11,20,0.55,17,34,0.5,0,0,0.0,0.9,1.7,58.8,Sr,8-Jun,32,0.3255,97.9053,6.5,2010,556,all,67.6,0.0,5.0,9.0,12.0,25.0,0.5556,0.48,1.0,1.0,1.0,,94.6852,95.3371,0.757062,27.3024,-6.90221,-3.54603,-3.35618,-1.28038,7.0,-1.91332,0.632938,0.8095,1.0,1.8095,0.0,0.1905,0.0476,2.1429,C,0.0
4782,Randy Berry,Green Bay,Horz,33,72.1,124.7,14.8,54.1,64.33,13.6,21.1,6.3,17.8,109,134,0.813,72,131,0.55,0,2,0.0,2.9,0.8,100.8,Sr,9-Jun,23,3.15509,116.037,4.7,2010,633,all,,0.75611718,46.0,67.0,26.0,64.0,0.6866,0.4063,3.0,5.0,0.6,,101.123,100.231,2.62899,177.611,4.62051,2.86222,1.75828,1.78992,29.2727,1.72165,0.0682735,3.2121,5.0303,8.2424,0.9394,0.3636,0.7576,7.6667,C,0.128737
