,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4661,Robo Kreps,Illinois Chicago,Horz,29,89.0,96.8,24.4,42.6,49.31,2.0,10.3,13.8,14.8,114,133,0.857,82,204,0.402,54,179,0.302,0.1,2.3,34.7,Jr,Jun-00,3,2.32779,103.356,1.5,2010,231,all,57.6,0.92064077,42.0,82.0,40.0,122.0,0.5122,0.3279,0.0,0.0,,,106.359,104.371,2.73314,170.094,0.69617,1.50927,-0.813103,1.53474,35.5862,2.11739,-0.582653,0.6552,3.1034,3.7586,2.0,1.3793,0.0345,15.1724,Combo G,10.2819
4670,Dante Jackson,Xavier,A10,35,62.2,102.2,14.5,54.8,56.53,2.2,11.1,14.9,27.7,22,29,0.759,17,45,0.378,57,142,0.401,0.6,2.4,15.5,Jr,5-Jun,25,1.21274,98.5487,4.2,2010,269,all,81.4,1.23811116,11.0,21.0,6.0,24.0,0.5238,0.25,1.0,1.0,1.0,,97.188,93.3009,2.86728,168.329,5.47353,3.00732,2.4662,3.54557,25.6857,1.03633,2.50924,0.4857,2.7429,3.2286,2.2286,1.0857,0.1714,6.4857,Combo G,9.03782
4672,Dante Curry,Georgia St.,CAA,24,15.9,90.1,18.3,38.4,43.76,2.3,6.4,9.3,21.0,11,12,0.917,5,16,0.313,11,40,0.275,1.2,2.6,21.4,Jr,4-Jun,12,0.107001,88.2624,5.0,2010,276,all,75.0,0.75,2.0,4.0,3.0,12.0,0.5,0.25,0.0,0.0,,,103.754,104.558,0.624948,29.6473,-3.31916,-1.63606,-1.6831,-4.27137,8.2917,-3.22901,-1.04236,0.1667,0.4167,0.5833,0.375,0.3333,0.0833,2.25,Combo G,12.7858
4683,Romain Martin,Eastern Illinois,OVC,7,6.5,85.8,23.5,43.8,45.52,1.6,4.5,5.6,20.6,2,2,1.0,2,8,0.25,8,24,0.333,0.0,0.8,6.3,Sr,2-Jun,10,0.147699,88.4434,2.1,2010,325,all,,0.33333332,1.0,5.0,1.0,3.0,0.2,0.3333,0.0,0.0,,,109.424,110.006,0.618705,9.10925,-8.60529,-3.18606,-5.41922,-5.90486,11.0,-1.40606,-4.4988,0.1429,0.4286,0.5714,0.2857,0.1429,0.0,4.2857,Combo G,19.368
4684,Matt Shamis,Lehigh,Pat,23,5.4,84.6,17.0,61.5,59.94,1.6,9.1,12.6,37.3,3,6,0.5,2,7,0.286,4,6,0.667,0.0,0.8,46.2,Sr,Jun-00,21,-0.0620061,78.7655,4.4,2010,328,all,,0.6250719,1.0,3.0,1.0,4.0,0.3333,0.25,0.0,0.0,,,104.978,108.33,0.196353,11.0369,-7.0453,-4.14266,-2.90264,-6.40922,3.1304,-3.59995,-2.80927,0.0435,0.2609,0.3043,0.2174,0.0435,0.0,0.8261,Combo G,4.74981
4693,Trae Goldston,Georgia St.,CAA,31,64.3,106.9,19.7,49.6,52.64,1.4,6.4,7.1,15.3,39,45,0.867,49,129,0.38,58,145,0.4,0.4,1.7,16.4,Sr,1-Jun,11,1.97587,106.643,2.5,2010,339,all,33.0,0.65793767,17.0,33.0,32.0,96.0,0.5152,0.3333,0.0,0.0,,,106.158,106.557,1.78035,106.26,-1.44318,1.01486,-2.45804,0.231377,26.0323,1.5674,-1.33602,0.3226,1.3226,1.6452,0.8065,0.7097,0.0968,10.0323,Combo G,11.461
4699,Cleveland Richard,Army,Pat,28,80.4,96.7,24.6,43.6,47.38,4.4,12.0,22.4,16.2,65,89,0.73,88,212,0.415,36,114,0.316,1.7,3.3,27.3,Sr,3-Jun,3,1.45782,97.5754,3.0,2010,358,all,13.0,1.40681501,50.0,79.0,34.0,125.0,0.6329,0.272,0.0,0.0,,,93.0933,96.1531,3.38522,173.998,1.95018,0.0766929,1.87349,2.42507,32.2857,0.613984,1.81108,1.2143,2.9643,4.1786,2.9643,1.75,0.3571,12.4643,Combo G,7.70842
4701,Will Walker,DePaul,BE,31,93.7,97.5,25.3,43.0,45.98,2.1,7.0,16.4,11.0,76,107,0.71,106,263,0.403,71,231,0.307,0.4,2.6,21.7,Sr,Jun-00,30,3.12667,108.558,1.8,2010,363,all,82.2,1.51925595,50.0,89.0,56.0,174.0,0.5618,0.3218,1.0,1.0,1.0,,107.271,101.799,3.21145,166.926,1.93928,2.82549,-0.886207,2.93861,38.0645,3.13877,-0.200167,0.7419,2.2581,3.0,2.5484,1.5484,0.129,16.1613,Combo G,12.3263
4705,Marcus Britt,Arkansas,SEC,26,40.3,110.4,11.3,53.1,57.03,4.8,10.4,14.9,22.5,16,18,0.889,29,48,0.604,9,32,0.281,0.4,2.7,22.5,Jr,3-Jun,12,1.10662,100.542,3.5,2010,385,all,31.6,1.83327914,17.0,22.0,12.0,26.0,0.7727,0.4615,0.0,0.0,,,104.433,98.9294,1.90279,94.3177,3.5522,1.75686,1.79534,2.30883,20.0769,-0.377451,2.68628,0.8462,1.8462,2.6923,1.6923,0.9615,0.0769,3.8846,Combo G,3.43469
4710,Josh Bedwell,Samford,SC,20,19.8,75.6,12.7,35.7,38.31,1.4,12.9,8.0,19.7,4,6,0.667,2,13,0.154,7,22,0.318,1.3,1.3,17.1,Jr,Jun-00,10,-0.707028,66.1485,2.7,2010,401,all,,1.0,1.0,6.0,1.0,7.0,0.1667,0.1429,0.0,0.0,,,109.387,109.754,0.645188,32.3683,-6.33469,-4.69422,-1.64046,-6.65744,11.1,-4.40002,-2.25742,0.1,1.15,1.25,0.4,0.2,0.1,1.45,Combo G,6.90186
4718,Mark Hall,Mercer,ASun,31,28.4,109.0,10.5,49.0,55.33,4.0,4.3,8.1,21.3,18,22,0.818,4,11,0.364,14,40,0.35,0.0,1.9,43.1,Jr,11-May,10,0.365026,93.7801,4.8,2010,436,all,,1.14282552,2.0,5.0,2.0,6.0,0.4,0.3333,0.0,0.0,,,111.555,114.25,0.482292,52.004,-1.58171,0.84521,-2.42692,-1.79889,11.3871,-1.04431,-0.754573,0.3871,0.4516,0.8387,0.5161,0.3871,0.0,2.1935,Combo G,6.38549
4723,Edwin Santiago,Delaware,CAA,25,25.4,86.8,17.9,47.8,50.65,3.1,8.8,17.1,31.0,14,21,0.667,18,38,0.474,10,31,0.323,0.0,1.9,30.4,Jr,2-Jun,24,0.0519531,85.6926,4.5,2010,442,all,23.6,0.86206899,12.0,22.0,6.0,16.0,0.5455,0.375,1.0,2.0,0.5,,111.477,109.42,0.747257,47.7724,-5.48092,-3.1021,-2.37882,-4.67139,12.92,-3.20746,-1.46393,0.36,0.92,1.28,1.0,0.4,0.0,3.2,Combo G,5.94108
