,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4712,Terrell Bell,Virginia Tech,ACC,34,69.5,103.0,13.5,50.3,52.51,6.5,17.3,13.2,22.7,36,57,0.632,53,110,0.482,22,61,0.361,4.1,1.6,33.3,Jr,6-Jun,1,1.06287,95.5294,3.5,2010,420,all,71.8,1.33333333,37.0,62.0,16.0,48.0,0.5968,0.3333,12.0,13.0,0.9231,,91.5403,88.2253,3.69046,200.784,6.26203,1.19188,5.07015,4.71881,28.2941,1.0755,3.64331,1.6471,4.4706,6.1176,2.0,0.7941,1.1176,6.1176,Stretch 4,3.6815
4716,Will Sherrill,Virginia,ACC,30,36.9,96.5,14.1,45.7,45.97,9.7,13.6,6.4,18.5,4,8,0.5,20,40,0.5,15,53,0.283,0.9,2.2,8.6,Jr,9-Jun,22,0.452348,93.0587,5.3,2010,430,all,,0.78951523,10.0,14.0,10.0,26.0,0.7143,0.3846,0.0,0.0,,,98.7449,94.1023,1.7135,81.0373,2.48393,0.679006,1.80492,-0.174686,15.3667,-1.37384,1.19915,1.2667,1.7333,3.0,0.5,0.5333,0.1333,2.9667,Stretch 4,7.25164
4717,Brian Mills,Mercer,ASun,31,61.0,108.3,16.0,60.3,63.52,8.3,15.1,7.5,26.0,50,66,0.758,76,115,0.661,12,41,0.293,5.2,1.3,42.3,Jr,6-Jun,25,1.46826,101.856,5.3,2010,434,all,,0.49997232,58.0,80.0,18.0,35.0,0.725,0.5143,22.0,23.0,0.9565,,105.464,108.012,1.56483,149.494,1.91881,0.680501,1.23831,-0.140678,24.4839,-0.338731,0.198053,1.7419,3.4194,5.1613,0.9032,0.5806,1.2903,7.6774,Stretch 4,3.04724
4734,Jamine Peterson,Providence,BE,31,75.6,114.0,28.4,51.7,52.69,13.9,20.8,7.9,11.5,92,164,0.561,182,352,0.517,51,148,0.345,2.5,2.2,32.8,So,6-Jun,21,4.91803,131.384,3.4,2010,477,all,77.6,0.63158748,140.0,229.0,41.0,122.0,0.6114,0.3361,45.0,54.0,0.8333,,106.838,100.852,2.69113,199.076,4.624,5.80513,-1.18113,5.90583,30.3548,7.76546,-1.85964,4.3548,5.8065,10.1613,1.1613,1.2581,0.8387,19.6452,Stretch 4,8.48281
4737,Casey Harriman,Creighton,MVC,31,37.4,104.5,11.7,43.1,48.56,7.2,10.9,6.9,16.1,23,31,0.742,12,18,0.667,15,62,0.242,0.4,1.4,38.8,Jr,5-Jun,32,0.533243,93.8659,2.7,2010,481,all,,1.18756061,10.0,11.0,2.0,7.0,0.9091,0.2857,0.0,0.0,,,105.144,101.649,1.41587,80.5159,1.91311,1.7184,0.194711,0.686587,16.5484,0.427651,0.258936,1.0,1.5806,2.5806,0.6129,0.3871,0.0645,2.9677,Stretch 4,7.31265
4744,Nick Lake,Princeton,Ivy,17,10.2,94.0,16.1,43.1,45.08,11.2,18.6,1.8,16.9,2,2,1.0,2,6,0.333,7,23,0.304,1.0,1.6,6.9,Sr,6-Jun,14,0.0763517,87.5459,4.6,2010,512,all,,0.19993201,2.0,4.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,,90.1997,94.5881,0.801315,20.9452,-3.87182,-2.3772,-1.49463,-1.82546,7.2353,-0.899887,-0.925577,0.5882,1.0,1.5882,0.0588,0.1765,0.0588,1.5882,Stretch 4,12.5169
4750,Nikola Dragovic,UCLA,P10,30,74.4,96.8,21.7,44.8,50.1,3.7,13.3,8.5,16.6,84,108,0.778,68,142,0.479,47,167,0.281,1.9,1.5,35.0,Sr,9-Jun,41,2.14728,104.023,2.6,2010,536,all,,0.70173685,44.0,61.0,24.0,81.0,0.7213,0.2963,3.0,6.0,0.5,,105.385,99.5678,2.9635,154.632,0.641742,1.14195,-0.500206,-0.183442,32.2333,0.589376,-0.772818,0.9333,3.4667,4.4,1.3333,0.7667,0.5667,12.0333,Stretch 4,10.5452
4787,Jeremy Buttell,Illinois Chicago,Horz,29,83.0,108.7,18.6,54.0,55.97,8.3,17.1,4.1,13.2,56,85,0.659,81,153,0.529,45,122,0.369,0.9,1.6,30.9,Sr,7-Jun,33,2.69348,107.88,3.6,2010,644,all,61.6,0.3999855,66.0,98.0,15.0,56.0,0.6735,0.2679,0.0,0.0,,,104.254,102.305,2.78844,174.315,1.63493,2.06998,-0.435056,1.24573,33.2069,2.26814,-1.02241,2.5862,4.7931,7.3793,0.5517,0.8966,0.2759,12.1724,Stretch 4,7.51435
4819,Shawn Bowen,Stetson,ASun,14,10.6,47.6,12.4,17.5,17.88,2.8,12.3,10.5,20.9,1,5,0.2,2,7,0.286,1,13,0.077,0.0,1.0,25.0,Jr,3-Jun,10,-1.22779,41.4299,3.1,2010,730,all,,1.20022403,2.0,3.0,0.0,4.0,0.6667,0.0,0.0,0.0,,,111.944,112.127,0.40983,16.3196,-10.8127,-7.41591,-3.39684,-12.2994,8.2143,-8.50315,-3.79629,0.2143,0.7857,1.0,0.4286,0.1429,0.0,0.5714,Stretch 4,6.7487
4820,David Campbell,High Point,BSth,28,35.5,100.1,13.6,44.4,47.95,5.1,14.2,9.8,18.6,15,19,0.789,17,36,0.472,15,53,0.283,0.5,0.3,21.3,Jr,4-Jun,15,0.124521,87.0342,4.4,2010,731,all,,1.16658891,9.0,13.0,7.0,23.0,0.6923,0.3043,0.0,0.0,,,107.34,114.087,0.611309,60.339,-4.06403,-1.01021,-3.05382,-4.86162,14.25,-2.13827,-2.72335,0.6786,1.7143,2.3929,0.75,0.0714,0.0714,3.3571,Stretch 4,7.4301
4833,Doug Elwell,Wagner,NEC,31,60.8,96.5,14.7,45.7,46.1,6.1,13.0,16.7,19.7,5,8,0.625,22,51,0.431,38,122,0.311,5.1,1.9,4.6,Sr,5-Jun,13,0.16204,86.4249,2.5,2010,775,all,,1.59463759,11.0,24.0,6.0,21.0,0.4583,0.2857,1.0,3.0,0.3333,,101.673,108.193,1.54536,141.806,-0.0233639,-0.75903,0.735666,0.468324,24.5161,0.391406,0.0769176,1.3226,2.8065,4.129,1.9032,0.7742,1.1613,5.2581,Stretch 4,9.53835
4840,Greg Logins,Canisius,MAAC,31,55.6,96.0,23.7,48.3,51.08,6.4,22.4,4.1,19.6,39,47,0.83,85,193,0.44,36,95,0.379,0.7,0.8,16.3,Jr,7-Jun,0,1.25006,100.197,4.9,2010,788,all,,0.21428177,64.0,116.0,21.0,77.0,0.5517,0.2727,3.0,3.0,1.0,,97.6986,101.031,2.02925,142.994,-5.36334,-2.7124,-2.65094,-2.44304,23.4194,-0.746684,-1.69635,1.3226,4.8065,6.129,0.3871,0.3226,0.1613,10.2258,Stretch 4,7.87823
4874,Nick Larson,Northern Arizona,BSky,26,68.5,92.7,16.0,48.6,52.39,5.0,21.9,14.0,26.5,27,32,0.844,36,79,0.456,24,69,0.348,3.1,1.5,21.6,Sr,8-Jun,32,0.0505906,85.0372,4.8,2010,893,all,,0.98075002,21.0,38.0,15.0,41.0,0.5526,0.3659,2.0,2.0,1.0,,102.829,102.784,2.25367,141.186,0.7566,-1.34668,2.10328,-0.905541,28.0385,-1.79698,0.891443,1.0769,5.1538,6.2308,1.9615,0.6923,0.8077,6.5769,Stretch 4,5.63127
